0,1,2,3,4,5,6,7,8,9,10
1338,5,0,0,0,0,0,0,0,0,0
0,77,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
8,4,0,0,0,4,0,0,0,0,0
6,0,0,0,0,0,10,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,3,0,4,0,0
2,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
