model,N_a,N_steps,gamma,lambda_sparse,lr,batch_size,mask_type,hidden_size,attention_head_size,dropout,hidden_continuous
tabnet_multitask,32.0,5.0,1.1,0.06153085601625314,0.004132765459466363,512,sparsemax,,,,
tft_multitarget,,,,,0.0026070247583707684,128,,32.0,1.0,0.15000000000000002,16.0
