trial,hidden_size,attention_head_size,dropout,hidden_continuous,lr,batch_size,val_loss
0,32,1,0.15000000000000002,16,0.0026070247583707684,128,0.0006678106728941202
1,128,3,0.25,16,0.0003839629299804173,256,0.0010652001947164536
