model,method,feature,noise_percentage,n_pairs,median_delta,mean_delta,p_value,significant
cnn_lstm,noise,Protocol,5.0,5,0.004769228003917658,-0.029081201940761713,0.625,False
cnn_lstm,noise,Protocol,10.0,5,-0.003998177574709771,-0.06092934513098911,0.0625,False
cnn_lstm,noise,Protocol,20.0,5,0.004136713381597823,-0.07249826101914884,0.625,False
cnn_lstm,noise,Protocol,30.0,5,-0.006210225976435724,-0.15745396817171367,0.0625,False
cnn_lstm,noise,Protocol,50.0,4,-0.007157515452157925,0.07216483563757015,1.0,False
cnn_lstm,noise,Protocol,75.0,4,0.003146187085459773,0.08246853817518784,0.125,False
cnn_lstm,noise,Timestamp,5.0,5,0.02045515092123895,0.02045515092123895,0.0625,False
cnn_lstm,noise,Timestamp,10.0,5,0.05168116267582468,0.05168116267582468,0.0625,False
cnn_lstm,noise,Timestamp,20.0,5,0.07730974752300412,0.07730974752300412,0.0625,False
cnn_lstm,noise,Timestamp,30.0,5,-0.022512106693117984,-0.022512106693117984,0.0625,False
cnn_lstm,noise,Timestamp,50.0,4,-0.02120488673889953,-0.02120488673889953,0.125,False
cnn_lstm,noise,Timestamp,75.0,4,0.03368604853775903,0.03368604853775903,0.125,False
cnn_lstm,outliers,Down_Up Ratio,5.0,5,-0.02748681316426127,-0.019111309032178503,0.0625,False
cnn_lstm,outliers,Down_Up Ratio,10.0,5,0.00173166302825567,-0.0075471355611690825,0.75,False
cnn_lstm,outliers,Down_Up Ratio,20.0,5,-0.01284279625915663,-0.010841954091976658,0.625,False
cnn_lstm,outliers,Down_Up Ratio,30.0,5,-0.00906127310258742,-0.02823654586960327,0.0625,False
cnn_lstm,outliers,Down_Up Ratio,50.0,4,-0.008585547426747386,-0.01217269369195087,0.25,False
cnn_lstm,outliers,Down_Up Ratio,75.0,4,-0.012367357826678527,-0.015854200113047917,0.25,False
cnn_lstm,outliers,FIN Flag Cnt,5.0,5,0.033363848233762705,0.02148993821879406,0.0625,False
cnn_lstm,outliers,FIN Flag Cnt,10.0,5,0.04555569523729841,0.017264168785395294,0.25,False
cnn_lstm,outliers,FIN Flag Cnt,20.0,5,0.03865572245767723,0.012439704943804242,0.25,False
cnn_lstm,outliers,FIN Flag Cnt,30.0,5,0.03831827024193135,0.010367732527003116,0.25,False
cnn_lstm,outliers,FIN Flag Cnt,50.0,4,0.011803172859990552,-0.0019364265697092153,1.0,False
cnn_lstm,outliers,FIN Flag Cnt,75.0,4,0.028070919859819687,0.01433132043011992,0.25,False
cnn_lstm,outliers,Protocol,5.0,5,0.008512444059937896,-0.08115015102947325,0.625,False
cnn_lstm,outliers,Protocol,10.0,5,-0.00865059768950538,-0.06680369692732593,0.0625,False
cnn_lstm,outliers,Protocol,20.0,5,-0.014272731937991057,-0.18195522694129176,0.0625,False
cnn_lstm,outliers,Protocol,30.0,5,0.005731194838349607,-0.11103773883189509,0.625,False
cnn_lstm,outliers,Protocol,50.0,4,0.007807483146822891,0.0818135844482647,0.125,False
cnn_lstm,outliers,Protocol,75.0,4,0.018243202594893315,0.09224930389633512,0.125,False
cnn_lstm,outliers,Timestamp,5.0,5,0.09461377918260405,0.08092156349506555,0.0625,False
cnn_lstm,outliers,Timestamp,10.0,5,0.13928234174092569,0.1262631734222639,0.0625,False
cnn_lstm,outliers,Timestamp,20.0,5,0.15540081853337817,0.15424973628320632,0.0625,False
cnn_lstm,outliers,Timestamp,30.0,5,0.15740225421973975,0.16340244930901343,0.0625,False
cnn_lstm,outliers,Timestamp,50.0,4,0.17496996709999413,0.18051078721041292,0.125,False
cnn_lstm,outliers,Timestamp,75.0,4,0.13031151588740464,0.12805394923471686,0.125,False
tabnet,duplicated,Timestamp,5.0,5,-0.0046985497630280815,-0.0046985497630280815,0.0625,False
tabnet,duplicated,Timestamp,10.0,5,-0.006720827113250616,-0.006720827113250616,0.0625,False
tabnet,duplicated,Timestamp,20.0,5,-0.0029847882072275844,-0.0029847882072275844,0.0625,False
tabnet,duplicated,Timestamp,30.0,5,0.032670692415904035,0.032670692415904035,0.0625,False
tabnet,duplicated,Timestamp,50.0,3,-0.008891114165291425,-0.008891114165291425,0.25,False
tabnet,duplicated,Timestamp,75.0,3,0.0020448672733882622,0.0020448672733882622,0.25,False
tabnet,labels,FIN Flag Cnt,5.0,5,-0.018608966438302676,0.029113922224278443,0.8125,False
tabnet,labels,FIN Flag Cnt,10.0,5,0.014935418701941705,0.040882027174061066,0.0625,False
tabnet,labels,FIN Flag Cnt,20.0,5,0.005196365974336814,0.01653121504661803,0.0625,False
tabnet,labels,FIN Flag Cnt,30.0,5,0.009146995129558189,0.01729981381311676,0.0625,False
tabnet,labels,FIN Flag Cnt,50.0,4,0.008321042529185307,0.018571905454281695,0.125,False
tabnet,labels,FIN Flag Cnt,75.0,4,0.010955841671684508,0.021206704596780895,0.125,False
tabnet,labels,Protocol,5.0,5,0.03658701419263566,0.02803595748138461,0.0625,False
tabnet,labels,Protocol,10.0,5,0.018129510273068195,0.029646747124019313,0.0625,False
tabnet,labels,Protocol,20.0,5,-0.01984768398040293,-0.0020843091969240833,0.625,False
tabnet,labels,Protocol,30.0,5,-0.03208382537136201,0.010332887961788684,0.625,False
tabnet,labels,Protocol,50.0,4,0.03103835241096431,0.03910598069564508,0.125,False
tabnet,labels,Protocol,75.0,4,0.020545718197315543,0.028613346481996316,0.125,False
tabnet,missing,Down_Up Ratio,5.0,5,0.014238786117349633,0.01813926745104877,0.0625,False
tabnet,missing,Down_Up Ratio,10.0,5,0.028646731336068876,0.01711095903983495,0.25,False
tabnet,missing,Down_Up Ratio,20.0,5,0.01884513081462924,0.011262291828150084,0.25,False
tabnet,missing,Down_Up Ratio,30.0,5,0.026244907323236588,0.03326681800675939,0.0625,False
tabnet,missing,Down_Up Ratio,50.0,4,0.01693006075383785,0.012862033381784072,0.125,False
tabnet,missing,Down_Up Ratio,75.0,4,0.07886455270766912,0.07479652533561534,0.125,False
tabnet,missing,FIN Flag Cnt,5.0,5,0.013290274888569154,-0.0032500142679666943,0.8125,False
tabnet,missing,FIN Flag Cnt,10.0,5,0.02149175320871677,0.02935656031047116,0.0625,False
tabnet,missing,FIN Flag Cnt,20.0,5,0.0018758281239241725,0.010722685561863732,0.0625,False
tabnet,missing,FIN Flag Cnt,30.0,5,0.01689553746549355,0.02703409198858713,0.0625,False
tabnet,missing,FIN Flag Cnt,50.0,4,-0.006437278065314911,-0.012538349020929401,0.125,False
tabnet,missing,FIN Flag Cnt,75.0,4,0.012980821907242923,0.006879750951628433,0.25,False
tabnet,missing,Protocol,5.0,5,-0.010719425551325323,-0.0012281334638732711,0.625,False
tabnet,missing,Protocol,10.0,5,0.018129510273068195,0.006669000866876895,0.25,False
tabnet,missing,Protocol,20.0,5,-0.01984768398040293,-0.030459022429081273,0.0625,False
tabnet,missing,Protocol,30.0,5,-0.03208382537136201,-0.022614756222449107,0.0625,False
tabnet,missing,Protocol,50.0,4,0.03103835241096431,0.036553955291237505,0.125,False
tabnet,missing,Protocol,75.0,4,0.020545718197315543,0.02606132107758874,0.125,False
tabnet,missing,Timestamp,5.0,5,-0.05093177746123445,-0.021487818290193483,0.25,False
tabnet,missing,Timestamp,10.0,5,-0.0425474966876368,-0.027656226039204035,0.0625,False
tabnet,missing,Timestamp,20.0,5,-0.05446785019081268,-0.02896833132197498,0.25,False
tabnet,missing,Timestamp,30.0,5,-0.005908161408043067,0.019591357460794635,0.625,False
tabnet,missing,Timestamp,50.0,4,-0.06211308549720862,-0.04617588620418506,0.25,False
tabnet,missing,Timestamp,75.0,4,-0.05358807053655501,-0.03765087124353145,0.25,False
