model,method,feature,noise_percentage,n,tn_mean,tn_ci,tn_delta,fp_mean,fp_ci,fp_delta,fn_mean,fn_ci,fn_delta,tp_mean,tp_ci,tp_delta,mcc_mean,mcc_ci,mcc_delta
cnn_lstm,noise,Down_Up Ratio,1.0,5,22112.4,41.29909597837264,-48.599999999998545,218.6,41.29909597837264,48.599999999999994,1732.6,89.88824106649778,-9.400000000000091,2853.4,89.88824106649778,9.400000000000091,0.7241184504795951,0.012534301970301236,-0.00618705475558079
cnn_lstm,noise,Down_Up Ratio,5.0,5,22069.6,69.1474196921286,-91.40000000000146,261.4,69.1474196921286,91.39999999999998,1718.8,58.188884623413536,-23.200000000000045,2867.2,58.18888462341352,23.199999999999818,0.7197366045404314,0.012340392243039459,-0.010568900694744476
cnn_lstm,noise,Down_Up Ratio,10.0,5,22099.0,64.30333177414393,-62.0,232.0,64.30333177414393,62.0,1750.0,85.49918333206607,8.0,2836.0,85.49918333206607,-8.0,0.7194225949619758,0.005687250939569629,-0.010882910273200097
cnn_lstm,noise,Down_Up Ratio,20.0,5,22170.2,32.06042805816936,9.200000000000728,160.8,32.06042805816936,-9.199999999999989,1805.2,68.39528932370825,63.200000000000045,2780.8,68.39528932370825,-63.19999999999982,0.7219853297586377,0.014651975478382135,-0.008320175476538183
cnn_lstm,noise,Down_Up Ratio,30.0,5,22142.8,151.83220495638125,-18.200000000000728,188.2,151.83220495638125,18.19999999999999,1806.6,110.534600095415,64.59999999999991,2779.4,110.534600095415,-64.59999999999991,0.7179711520081582,0.007866725998888416,-0.012334353227017703
cnn_lstm,noise,Down_Up Ratio,50.0,4,22127.25,108.06560993282936,-33.75,203.75,108.06560993282936,33.75,1745.75,62.94724065352525,3.75,2840.25,62.94724065352525,-3.75,0.7245346798898529,0.010739212976537734,-0.005770825345323027
cnn_lstm,noise,Down_Up Ratio,75.0,4,22090.0,204.89534106125672,-71.0,241.0,204.89534106125672,71.0,1881.25,310.6768973539762,139.25,2704.75,310.6768973539762,-139.25,0.6976795678799388,0.04321688411919262,-0.03262593735523711
cnn_lstm,noise,FIN Flag Cnt,1.0,5,22047.2,53.04681569134394,-113.79999999999927,283.8,53.04681569134394,113.80000000000001,1742.8,31.964106890938012,0.7999999999999545,2843.2,31.964106890938012,-0.8000000000001819,0.7125681963202581,0.0030583799744940358,-0.01773730891491776
cnn_lstm,noise,FIN Flag Cnt,5.0,5,22099.6,116.29494209256173,-61.400000000001455,231.4,116.29494209256171,61.400000000000006,1683.2,8.841135948557323,-58.799999999999955,2902.8,8.841135948557323,58.80000000000018,0.7299959227283648,0.01910783462342492,-0.00030958250681112354
cnn_lstm,noise,FIN Flag Cnt,10.0,5,22068.6,48.28620402673615,-92.40000000000146,262.4,48.28620402673615,92.39999999999998,1846.8,144.17852469955022,104.79999999999995,2739.2,144.1785246995502,-104.80000000000018,0.6992228323171126,0.030460451983264854,-0.031082672918063325
