model,method,feature,noise_percentage,n_pairs,median_delta,mean_delta,p_value,significant
cnn_lstm,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,20.0,20,0.0010207047087200105,-0.004678359679525295,0.8983173370361328,False
cnn_lstm,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,35.0,20,-0.0006335425073689116,-0.0013158194076364205,0.7011814117431641,False
cnn_lstm,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,50.0,20,0.0011400219188829053,0.0022858851707639296,0.8983173370361328,False
cnn_lstm,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,75.0,20,0.01113007237339153,0.0037753361979809773,0.6215133666992188,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts,10.0,20,3.711100280850976e-05,-0.002386581383217018,0.7561664581298828,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts,20.0,20,-0.003667804391095708,-0.007967349108886617,0.21616744995117188,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts,35.0,20,-0.02917598538550914,-0.03947097892450611,0.001209259033203125,True
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts,50.0,20,-0.0809267304522347,-0.06629911705247378,4.76837158203125e-05,True
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts,75.0,20,-0.13484560099486298,-0.16775904932215402,1.9073486328125e-06,True
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,10.0,20,-0.003385098272822351,-0.005862476529254218,0.2773551940917969,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,20.0,20,-0.0009340550240349299,-0.002958206478082981,0.5958194732666016,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,35.0,20,-0.00932326071373557,-0.008554400709483694,0.05316925048828125,False
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,50.0,20,-0.033825725714340005,-0.037807537094020974,9.5367431640625e-06,True
cnn_lstm,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,75.0,20,-0.19209305891588363,-0.1912729402641708,1.9073486328125e-06,True
cnn_lstm,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,10.0,20,-0.0038407227618357798,-0.0033752450674247704,0.21616744995117188,False
cnn_lstm,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,20.0,20,0.002071856060355426,0.0032432039457751362,0.6742229461669922,False
cnn_lstm,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,35.0,20,0.003739826584616468,0.006410120079781523,0.21616744995117188,False
cnn_lstm,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,50.0,20,-0.004181358131097046,-0.0002571101191666314,0.5458755493164062,False
cnn_lstm,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,75.0,20,-0.017234831094021352,-0.022075941687117823,0.01531219482421875,True
cnn_lstm,noise,FwdActDataPkts+PSHFlagCnt+IdleMean,10.0,20,0.00511350659669213,0.006809676806569426,0.36827659606933594,False
cnn_lstm,noise,FwdActDataPkts+PSHFlagCnt+IdleMean,20.0,20,-0.0014144955341431342,-0.0007785319435211158,0.8408222198486328,False
cnn_lstm,noise,FwdActDataPkts+PSHFlagCnt+IdleMean,35.0,20,0.00021479492311299309,0.005886816104763359,0.5458755493164062,False
cnn_lstm,noise,FwdActDataPkts+PSHFlagCnt+IdleMean,50.0,20,-0.0021094215358358204,-0.0014751930266377277,0.6215133666992188,False
cnn_lstm,noise,FwdActDataPkts+PSHFlagCnt+IdleMean,75.0,20,-0.005021974352741765,-0.016502151604684802,0.05316925048828125,False
cnn_lstm,noise,Protocol+PSHFlagCnt+FwdSegSizeMin,10.0,20,-0.002350951545162794,-0.0035382180931335604,0.5458755493164062,False
cnn_lstm,noise,Protocol+PSHFlagCnt+FwdSegSizeMin,20.0,20,0.0036168771919188325,0.009221213606212192,0.40909767150878906,False
cnn_lstm,noise,Protocol+PSHFlagCnt+FwdSegSizeMin,35.0,20,0.0069308763647066285,0.015255167831181077,0.0072956085205078125,True
cnn_lstm,noise,Protocol+PSHFlagCnt+FwdSegSizeMin,50.0,20,-0.012939757632067173,-0.008802475723459541,0.10539817810058594,False
cnn_lstm,noise,Protocol+PSHFlagCnt+FwdSegSizeMin,75.0,20,-0.03930923591308366,-0.07072100685861135,3.814697265625e-06,True
cnn_lstm,outliers,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,10.0,20,-0.0061430790628913545,-0.005331498792468192,0.16495704650878906,False
cnn_lstm,outliers,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,20.0,20,-0.0008350253031477739,-0.00452179811175325,0.2773551940917969,False
cnn_lstm,outliers,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,35.0,20,-0.009687749539733614,-0.009184004592031458,0.1893482208251953,False
cnn_lstm,outliers,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,50.0,20,-0.006142015281447255,-0.01825837318549923,0.05316925048828125,False
cnn_lstm,outliers,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,75.0,20,-0.0098375920718074,-0.01154811798262923,0.15364646911621094,False
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts,10.0,20,-0.012987522018094999,-0.029120924018768292,0.023950576782226562,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts,20.0,20,-0.05847673109820839,-0.06960761793916129,1.9073486328125e-06,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts,35.0,20,-0.147313255858739,-0.13461829480617585,1.9073486328125e-06,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts,50.0,20,-0.16140722964631965,-0.1820363842134552,1.9073486328125e-06,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts,75.0,20,-0.17690155815718922,-0.1954931643456114,1.9073486328125e-06,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,10.0,20,-0.015051732944471152,-0.015874865340009963,0.03276824951171875,True
