model,task,method,feature,noise_percentage,mean,std,n,sem,ci_half,ci_low,ci_high
cnn_lstm,binary,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,5.0,0.9312678384684216,0.0061940758344605825,19,0.0014210184532126866,0.002985448987943762,0.9282823894804779,0.9342532874563654
cnn_lstm,binary,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,10.0,0.9316035280951379,0.004069138192180774,20,0.0009098869607556813,0.00190441529565411,0.9296991127994838,0.933507943390792
cnn_lstm,binary,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,20.0,0.9293268101765912,0.007134651041805658,20,0.0015953564725217145,0.0033391194723439363,0.9259876907042474,0.9326659296489351
cnn_lstm,binary,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,35.0,0.9307200266206792,0.004334563811462529,20,0.0009692379335240796,0.0020286383093109,0.9286913883113683,0.9327486649299901
cnn_lstm,binary,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,50.0,0.9272298537785597,0.010341684431338174,20,0.002312470939032341,0.0048400573005148596,0.9223897964780449,0.9320699110790746
cnn_lstm,binary,missing,FwdActDataPkts+PSHFlagCnt+IdleMean,75.0,0.9298277311028207,0.004732819771291401,20,0.001058290673386258,0.0022150278359534046,0.9276127032668673,0.9320427589387741
cnn_lstm,binary,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,5.0,0.9319207749664102,0.004114143272274958,20,0.0009199504025980231,0.0019254783215002702,0.92999529664491,0.9338462532879105
cnn_lstm,binary,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,10.0,0.9260985416885502,0.023447319976756736,20,0.005242980135821685,0.010973683541059728,0.9151248581474904,0.93707222522961
cnn_lstm,binary,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,20.0,0.9327948521266792,0.0045869821646795424,20,0.0010256803931802591,0.0021467737350612543,0.930648078391618,0.9349416258617405
cnn_lstm,binary,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,35.0,0.9319614524485973,0.003925930271612667,20,0.0008778646962250135,0.0018373919257147961,0.9301240605228825,0.933798844374312
cnn_lstm,binary,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,50.0,0.9248052877948215,0.008191140732992727,20,0.001831594749223919,0.0038335718680536164,0.9209717159267679,0.9286388596628752
cnn_lstm,binary,missing,Protocol+PSHFlagCnt+FwdSegSizeMin,75.0,0.9069763663956747,0.019710822585768627,20,0.004407473919421683,0.009224948932526851,0.8977514174631478,0.9162013153282016
cnn_lstm,binary,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,5.0,0.9306659533289368,0.005108865261964408,20,0.0011423770013639688,0.00239102254305762,0.9282749307858791,0.9330569758719944
cnn_lstm,binary,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,10.0,0.9312209126428245,0.002697587750224703,20,0.000603198958477316,0.0012625099296870608,0.9299584027131375,0.9324834225725115
cnn_lstm,binary,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,20.0,0.9294802105429352,0.006266076594655993,20,0.0014011373217871195,0.002932614118029676,0.9265475964249055,0.9324128246609649
cnn_lstm,binary,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,35.0,0.9303656574089054,0.004635322397897808,20,0.0010364895979326828,0.0021693976606171014,0.9281962597482883,0.9325350550695225
cnn_lstm,binary,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,50.0,0.9311716224892693,0.004509190929779636,20,0.0010082857442512746,0.002110366316434902,0.9290612561728344,0.9332819888057042
cnn_lstm,binary,noise,BwdByts_bAvg+FwdBlkRateAvg+IdleMean,75.0,0.9313665626571547,0.007514206504521703,20,0.0016802276541081607,0.003516756896930424,0.9278498057602242,0.9348833195540851
cnn_lstm,binary,noise,FwdActDataPkts+DstPort+InitFwdWinByts,5.0,0.9307564697050724,0.004003742490191244,20,0.0008952640372471906,0.001873809165005066,0.9288826605400674,0.9326302788700774
cnn_lstm,binary,noise,FwdActDataPkts+DstPort+InitFwdWinByts,10.0,0.9301671948355695,0.0033382628093780596,20,0.0007464582568528763,0.0015623550872047658,0.9286048397483647,0.9317295499227743
cnn_lstm,binary,noise,FwdActDataPkts+DstPort+InitFwdWinByts,20.0,0.928799449644875,0.00541393601902094,20,0.0012105928964365415,0.0025338000523375077,0.9262656495925375,0.9313332496972125
cnn_lstm,binary,noise,FwdActDataPkts+DstPort+InitFwdWinByts,35.0,0.9205840201611647,0.01145853365082594,20,0.002562206016571564,0.005362758825033977,0.9152212613361307,0.9259467789861987
cnn_lstm,binary,noise,FwdActDataPkts+DstPort+InitFwdWinByts,50.0,0.912665009864449,0.013532426494219346,20,0.0030259425541593623,0.006333370553113261,0.9063316393113358,0.9189983804175622
cnn_lstm,binary,noise,FwdActDataPkts+DstPort+InitFwdWinByts,75.0,0.8855206818455233,0.022006121609292557,20,0.0049207183839505226,0.010299181942577623,0.8752214999029457,0.895819863788101
cnn_lstm,binary,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,5.0,0.9299341253580854,0.003623548124549572,20,0.0008102499926234717,0.0016958727246450809,0.9282382526334403,0.9316299980827305
cnn_lstm,binary,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,10.0,0.928548671276617,0.004800890146331914,20,0.0010735116719707072,0.002246885752122772,0.9263017855244943,0.9307955570287397
cnn_lstm,binary,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,20.0,0.9292041826365635,0.0037477890251573385,20,0.0008380311025579479,0.0017540192559961012,0.9274501633805674,0.9309582018925595
cnn_lstm,binary,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,35.0,0.9265321729228969,0.005364066974222681,20,0.0011994418390223526,0.0025104606209375223,0.9240217123019594,0.9290426335438344
cnn_lstm,binary,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,50.0,0.9200645418039788,0.0074890139427981174,20,0.0016745944260540312,0.003504966415109163,0.9165595753888697,0.9235695082190879
cnn_lstm,binary,noise,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,75.0,0.8767389444419461,0.015238229111090894,20,0.0034073716149115433,0.007131710752317945,0.8696072336896281,0.8838706551942641
cnn_lstm,binary,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,5.0,0.9317422345674002,0.004684106317851084,20,0.0010473980140551262,0.0021922292379568708,0.9295500053294433,0.9339344638053572
cnn_lstm,binary,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,10.0,0.9309246908723565,0.0033769277859801478,20,0.0007551040084559471,0.0015804508532784322,0.9293442400190781,0.9325051417256349
cnn_lstm,binary,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,20.0,0.9325254898078906,0.002553493112048126,20,0.0005709784178617096,0.0011950715631325569,0.931330418244758,0.9337205613710232
cnn_lstm,binary,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,35.0,0.9332979382867229,0.0023895848708047106,20,0.0005343274209124385,0.001118360144899687,0.9321795781418233,0.9344162984316225
cnn_lstm,binary,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,50.0,0.9313146781743356,0.004242370974593199,20,0.0009486229884962426,0.001985490733487332,0.9293291874408482,0.9333001689078229
cnn_lstm,binary,noise,FwdActDataPkts+IdleMean+InitFwdWinByts,75.0,0.9259323391603951,0.008049955494841382,20,0.0018000247702313287,0.00376749514262496,0.9221648440177701,0.9296998343030201
cnn_lstm,binary,noise,FwdActDataPkts+PSHFlagCnt+IdleMean,5.0,0.931080733198993,0.005126366248630906,20,0.0011462903409499294,0.002399213256944104,0.9286815199420488,0.9334799464559371
cnn_lstm,binary,noise,FwdActDataPkts+PSHFlagCnt+IdleMean,10.0,0.9328040753165434,0.004175747929036228,20,0.0009337256226228973,0.001954310188367099,0.9308497651281763,0.9347583855049105
